"","O.NET.SOC.Code","Title","Active Learning","Active Listening","Complex Problem Solving","Coordination","Critical Thinking","Equipment Maintenance","Equipment Selection","Installation","Instructing","Judgment and Decision Making","Learning Strategies","Management of Financial Resources","Management of Material Resources","Management of Personnel Resources","Mathematics","Monitoring","Negotiation","Operation and Control","Operation Monitoring","Operations Analysis","Persuasion","Programming","Quality Control Analysis","Reading Comprehension","Repairing","Science","Service Orientation","Social Perceptiveness","Speaking","Systems Analysis","Systems Evaluation","Technology Design","Time Management","Troubleshooting","Writing","dim"
"225","19-2042.00","Geoscientists, Except Hydrologists and Geographers",3.62,4.25,4.12,3.12,4.12,0,0.88,0,3.12,3.75,3.38,1.25,1.12,2.88,4,3.38,2.88,2.12,2.5,3,3.38,1.88,2.5,4.88,0,4.25,2.75,2.88,4.25,3.38,3.38,0.75,3.12,1.12,4.5,"Level"
"226","19-2043.00","Hydrologists",4.12,4.12,4,3.38,4.38,1.5,1.75,2,3.12,3.88,3.62,1.88,1.88,3,4.25,4.12,2.88,2.62,2.62,2.62,3.5,2.88,3,4.5,0.62,4.12,2.62,3.38,4.12,3.62,3.5,1.62,3.5,1.75,4.25,"Level"
"227","19-2099.01","Remote Sensing Scientists and Technologists",4,3.88,4.25,3.5,4,0.75,0.5,0.62,3.5,3.88,3,1.5,2.12,3.38,4.12,3.88,2.75,1,2.75,3.88,3.12,1.5,1,4.75,0.25,4,3.12,3,3.75,3.75,3.75,2,3.5,0.5,4.5,"Level"
"228","19-3011.00","Economists",4.12,4.12,4.12,3,4.5,0,0,0,3.38,4.25,3.5,0.75,0.75,2.38,4.38,3.62,2.62,0.25,0,2.75,3.5,1.88,0.62,4.5,0,2.5,2.88,2.75,4.38,4.25,3.75,0.38,3.25,0,4.5,"Level"
"229","19-3011.01","Environmental Economists",3.88,4.12,3.75,3.38,4.25,0,0,0,3.38,4.12,3.75,3.12,2,2.88,4.5,3.75,3,0,0.25,1.88,3.5,2.12,1.25,4.5,0,2.38,2.88,3.38,3.88,4,3.62,1.75,3.38,0.62,4.25,"Level"
"230","19-3022.00","Survey Researchers",3.75,4,3.88,3.38,4.12,0,0,0,3.38,3.62,3.62,2.12,2.12,3.25,4.12,3.62,2.88,0,1.62,2.62,3.25,2.38,1.38,4.12,0,2.62,3,3.5,4,3,3.12,1.12,3.62,0.38,4.38,"Level"
"231","19-3031.01","School Psychologists",3.75,4.38,3.75,3.75,4,0,0,0,3.5,4.12,4,0.38,0.5,3,2.25,3.88,3.5,0,1.38,0.75,3.62,0.5,0.5,4.5,0,1.12,3.62,4.88,4.12,3.12,3.38,1,3.88,0,4.38,"Level"
"232","19-3031.02","Clinical Psychologists",4.12,4.75,4,3.25,4,0,0,0,3.38,3.88,3.75,0.5,0.5,3,1.75,4,3.12,0,0.5,2.75,4,0.25,0.75,4.75,0,3.5,4.12,5.12,4.38,3,3,0.38,3.38,0.5,4.12,"Level"
"233","19-3031.03","Counseling Psychologists",4,4.75,4,3.75,4.12,0,0,0,3.88,4.12,3.88,1,1,3.12,2,4,3.88,0,0.25,3.12,4,0.25,0.25,4.75,0,3.5,4.12,5.5,4.38,3.12,3.38,0.38,3.62,0,4.12,"Level"
"234","19-3032.00","Industrial-Organizational Psychologists",4.12,4.62,4,4.12,4.25,0,0.25,0,4,4,4,2.25,2.12,4,4,4.12,3.38,0,1.88,3.38,3.88,3.38,2,4.75,0,3.75,3.25,4.12,4.62,4.12,4.12,1,3.88,0,4.75,"Level"
"235","19-3039.01","Neuropsychologists and Clinical Neuropsychologists",5,4.62,4.25,3.5,4.75,0,0.5,0,4.12,4.25,4.12,1.38,2,3.12,3.25,4.12,3,0.38,1.5,2.38,3.62,1.88,1.75,5.5,0,4.5,3.62,5.25,4.5,3.5,3.75,1.12,3.25,0.5,4.62,"Level"
"236","19-3041.00","Sociologists",4.12,4.5,3.75,3.25,4.38,0.25,0.38,0,3.88,4,3.75,0.88,1.62,3,3.5,3.75,2.88,0.25,0.5,2.88,3,0.12,0.75,5.12,0,4.25,3.12,4,4.5,3.5,3.25,0.25,3.38,0,4.75,"Level"
"237","19-3051.00","Urban and Regional Planners",4,4,4,3.88,4.25,0,0,0,3.25,4.25,3,3,2.25,3.25,3.62,3.62,3.38,0.12,1.38,3.88,3.88,1.62,1.62,4.38,0,2.75,3.25,3.62,4,4.25,4,1,3.75,0,4,"Level"
"238","19-3091.01","Anthropologists",4.25,4.38,4,3.25,4.5,0,0.25,0,4,4,3.62,1.25,1.38,3,3.12,3.75,2.88,0.12,0.88,3.25,3.12,1.62,0.88,4.75,0,4.5,2.88,3.75,4.62,4.12,3.5,1.12,3.25,0,5,"Level"
"239","19-3091.02","Archeologists",4,4.12,3.88,3.75,4.12,0,0.38,0,3.75,3.88,3.75,2,2.25,3.5,3.38,3.88,2.75,1.5,2,2.38,3,1.38,1.25,4.75,0,4,2.75,3.25,4.25,3.25,3.12,1,3.25,0.38,4.75,"Level"
"240","19-3092.00","Geographers",4,3.75,3.75,3.5,3.88,0,0.25,0,3.75,3.62,3.5,1.38,1.62,3,3.25,3.5,2.62,0.25,1.25,3.12,2.88,0.88,0.62,4.62,0,4.25,3,3.25,4.12,3.88,3.75,0.75,3.62,0,4.62,"Level"
"241","19-3093.00","Historians",3.75,4,3.12,3,4.12,0,0,0,3.38,3.38,3.62,0.88,1.12,2.88,1.12,3.12,2.25,0,0.62,1.88,3,0.38,0.75,4.88,0,2.62,2.25,3.38,4.12,2.25,2.25,0.5,2.88,0,4.88,"Level"
"242","19-3094.00","Political Scientists",4.25,4.62,3.88,3.25,4.75,0,0,0,3.25,3.88,3.38,0.25,0.62,2.5,2.88,3.88,2.5,0,0.12,2.75,2.88,0.12,0.88,4.62,0,3.88,2.88,3.88,4.75,3.62,3.12,0.25,3.25,0,4.5,"Level"
"243","19-3099.01","Transportation Planners",4,4,4,3.88,4.25,0,0,0,3,3.88,3.12,2.25,2.88,3.25,3.75,3.88,3.25,1.5,2.38,3.12,3.5,1.5,1,4.38,0.62,2,3.38,3.25,4,3.5,4.12,1.88,3.62,0.5,4,"Level"
"244","19-4011.01","Agricultural Technicians",3,3.38,3.5,3,4,0.75,1,0,3,3,3,1.25,1.62,3,3,3.25,2.62,2.62,3,0.38,2.62,0.75,1,3.88,1.25,3,2.75,3,3.12,2.88,2.75,0.88,3,2.12,3.62,"Level"
"245","19-4011.02","Food Science Technicians",3.25,3.38,3,3,3.62,2.12,1.88,0,3.12,3,2.88,0.75,1.75,2.62,3.12,3.12,2.12,1.5,2.88,0.88,2.12,0.5,3.12,4,1.88,3.25,2.38,3,3.25,2.25,2.5,0.5,2.88,1.88,3.25,"Level"
"246","19-4021.00","Biological Technicians",3.5,3.88,3.5,3.12,4,1.75,1.38,0.12,2.62,3.75,2.62,1.12,1.75,2.25,3.75,3.62,1.62,2.75,3,1.75,2.75,2.12,3.12,4.62,1.25,3.5,2.12,2.62,3.62,2.75,2.88,1.62,3,2.88,3.75,"Level"
"247","19-4031.00","Chemical Technicians",3.12,3.88,3.12,3,4,2.75,2.88,0.25,3.25,3.25,3,1.25,1.62,2.62,3,3.75,2.62,2.75,3.12,2.75,2.25,0.62,3.25,4,2.75,3.88,2.88,3,3.38,2.88,3,1.38,3.12,2.75,3.75,"Level"
"248","19-4041.01","Geophysical Data Technicians",2.62,3.5,3,2.88,3,0.25,0.62,0.38,2.38,3,2,0.75,1.38,2.5,2.12,2.88,1.88,2.88,3.12,2.25,2.62,0.62,2.25,4,0.25,3.62,2.25,2.88,3.5,2.62,2.25,1.12,2.88,1.75,3.5,"Level"
"249","19-4041.02","Geological Sample Test Technicians",3.12,3.12,3,3,3.75,2.62,2.62,0,2.62,2.88,2.88,1.38,1.62,2.75,3.5,3.75,2.12,2.75,3.12,2.38,2.12,1.5,3.25,4,2.75,3.62,2.25,2.88,3.12,3,2.88,1,3,2.88,3.25,"Level"
"250","19-4051.01","Nuclear Equipment Operation Technicians",3.25,3.5,3,2.88,3.38,3.38,1.75,0.12,2.25,3.62,2.38,0.75,0.88,1.88,3.5,3.75,1.88,3.88,4.25,0.12,2.25,0.75,3.25,3.88,3.62,2.62,1.88,2.25,3.5,2.75,2.62,1.62,2.75,3.62,2.88,"Level"
"251","19-4051.02","Nuclear Monitoring Technicians",3.12,3.88,3.12,3,4,1.25,0.5,0,3,3.38,3.25,1.12,1.12,2.75,3.12,4,2.75,2.88,3.62,0.25,2.75,0.62,3.12,4,0.75,3.12,2.75,2.88,3.38,3,2.88,0.62,3.12,2.75,3.62,"Level"
"252","19-4061.00","Social Science Research Assistants",3.5,3.62,3.25,3,3.75,0,0.88,0,2.88,2.88,3.12,1.88,1.88,2.88,3.75,3.25,2.5,0.62,2.25,2.38,2.62,3.38,3,4.5,0.25,3.12,2.75,3.25,3.62,2.5,2.62,1.38,3.12,1.5,3.62,"Level"
"253","19-4061.01","City and Regional Planning Aides",3.12,3.75,3.12,3.12,3.5,0,0,0,2.75,3.25,2.38,1.25,1.25,2.5,2.88,3.25,3.12,1.62,1.62,2.25,2.75,0.5,0.25,3.75,0,2.38,3.12,3,3.75,3.12,2.88,0.5,3.38,0,3.62,"Level"
"254","19-4091.00","Environmental Science and Protection Technicians, Including Health",3,3.75,3.25,3.25,4,2.25,2,0,3,3.25,2.88,1.25,2,2.75,3.25,3.75,2.88,2.88,3,2.88,3.12,0.5,2.88,4,2,3.25,2.75,3.25,3.5,3.12,3.12,1,3.25,2.75,3.75,"Level"
"255","19-4092.00","Forensic Science Technicians",3.62,4.25,3.62,3.38,4,1.75,2.38,0,3.75,3.75,3.38,1.12,1,3,3.12,3.5,2.25,2.88,2.62,1.62,3.12,1.25,2.25,4.38,1.5,3.25,2.88,3.38,4.12,3,2.62,0.88,3.25,2.12,4.12,"Level"
"256","19-4093.00","Forest and Conservation Technicians",3.12,3.5,3.38,3.62,3.62,1.88,2.25,0.88,3.12,3.62,3.38,1.38,2.12,3.38,3.38,3.75,2.38,2.75,2.5,1.25,2.62,1.75,2.88,3.88,1.75,2.12,2.88,3.25,3.5,2.62,2.88,1.25,3.25,1.75,3.38,"Level"
"257","19-4099.01","Quality Control Analysts",3.25,3.62,3.38,3,3.5,1.25,1.38,0.88,3.12,3,2.75,1.25,1.75,2.62,3.12,3.62,2.62,2.88,3.5,2.25,2.75,1.12,3.75,3.75,1.12,2.62,2.75,3.12,3.5,2.88,2.88,1.62,3.25,2.75,3.38,"Level"
"258","19-4099.02","Precision Agriculture Technicians",3.25,3.62,3.12,3.12,3.25,2.88,2.25,1.38,2.88,3.5,2.75,1.25,1.12,2.75,3.12,3.5,2.75,2.88,2.88,3,2.62,1,3.25,3.88,2.75,3.12,3,2.88,3.38,3.25,3.12,0.88,3,2.88,3.62,"Level"
"259","19-4099.03","Remote Sensing Technicians",3.5,3.75,3.38,3.38,3.88,2,2.38,0.12,3.25,3.62,3,1.38,1.88,2.5,3.88,3.62,2.5,2.25,3.12,1.88,2.88,3.25,2.88,4.12,1.5,2.75,2.62,2.75,3.62,3.12,3,1.62,2.75,2.38,3.75,"Level"
"260","21-1011.00","Substance Abuse and Behavioral Disorder Counselors",3.75,4.38,3.25,3.62,4,0,0,0,3.25,3.88,3.62,1,1.38,3.12,2.25,3.88,3.12,0.12,1.25,1.38,3.88,0.5,0.88,4.12,0,1.38,4,4.88,4.12,3.12,3.25,0.62,3.25,0.25,4,"Level"
"261","21-1012.00","Educational, Guidance, School, and Vocational Counselors",3.75,4.38,3.5,3.5,4,0,0,0,3.38,3.88,3.88,0.5,0.5,3.12,2,3.75,3.38,0.38,1.25,0,3.62,0.75,0.25,4.38,0,0.88,4,4.75,4.12,3.38,3.5,1,3.88,0,4.25,"Level"
"262","21-1013.00","Marriage and Family Therapists",4,5,4.12,3.62,4,0,0,0,3.88,4,3.75,0.62,0.5,3,2.12,4,3.88,0,1,3.5,4,0.38,0.75,4.12,0,3.25,4.12,5.88,4.25,3.62,3.75,0.5,3.12,0,4,"Level"
"263","21-1014.00","Mental Health Counselors",4.12,5,3.88,3.75,4.5,0,0,0,3.25,4.12,3.88,0.75,0.88,3.12,2.38,4.25,3.62,0,0.75,3.38,4.38,0.5,1.12,4.62,0,3.75,4,5.5,4.38,3.75,4,0.62,3.25,0,4.12,"Level"
"264","21-1015.00","Rehabilitation Counselors",3.38,4.12,3.75,3.75,3.88,0,0,0,3.38,3.62,3.62,1,0.38,3,1.75,4,3.38,0,1.38,3.5,3.75,0.75,0.25,4,0,2.38,4,4.88,4,3.75,3.5,0.75,3.25,0,3.62,"Level"
"265","21-1021.00","Child, Family, and School Social Workers",3.5,4.62,3.25,4,4.12,0,0,0,3.38,3.75,3.12,1.12,1.12,3.12,1.88,3.75,3.88,1.12,1.62,3.5,3.88,0.5,0.5,4.12,0,3.12,4.25,4.5,4.38,3,3.38,0.75,3.75,0,4.12,"Level"
"266","21-1022.00","Healthcare Social Workers",3.88,4.75,3.62,4.12,4.12,0,0.25,0,3.25,4,3.75,0.88,1.12,3.25,2.12,3.88,3,1,0.88,3.25,3.62,0.75,1,4.25,0,2.75,4.25,5.25,4.25,2.25,3.62,0.62,3.5,0,4.25,"Level"
"267","21-1023.00","Mental Health and Substance Abuse Social Workers",4,4.25,3.75,4,4.12,0,0,0,3.75,3.88,4,0.62,0.62,3,2,4.25,3.88,0,1.62,2.88,4,0.75,1.12,4.12,0,3.25,4.12,5.12,4.25,3.12,3.25,0.5,3.88,0,4,"Level"
"268","21-1091.00","Health Educators",3.38,4,3.38,3.38,4,0,0,0,3.38,3.25,3.88,2,2.12,3.25,1.88,3.62,3,0.75,1.62,3.12,3.25,0.25,0.75,4,0,2.88,3.25,3.75,4.12,2.88,3,0.62,3.25,0,4,"Level"
"269","21-1092.00","Probation Officers and Correctional Treatment Specialists",3.12,4.12,3.12,3.5,4,0,0,0,3,3.62,2.5,0,0,2.38,1.12,4.12,3.38,1.25,1.12,2,3.88,0.5,1,4.12,0,1.38,4,4.5,4,2.62,2.88,0.38,3.12,0,3.75,"Level"
"270","21-1093.00","Social and Human Service Assistants",3.12,4,3,3.38,3.75,0,0,0,3.12,3.38,3.25,1.38,1.5,2.38,2.12,3.75,3,1.62,1.62,1.38,3.12,0.62,1.88,3.88,0,1.5,4,4.38,4,2.75,2.88,0.5,3.25,0.38,3.75,"Level"
"271","21-1094.00","Community Health Workers",3.62,4,3.5,3.62,3.75,0,0,0,3.62,3.38,3.75,1.62,1.75,3,2.12,3.75,3,1.75,1.88,0.75,3.75,0.75,1.38,4,0,0.5,3.88,4.25,4,3.25,3.25,1,3.38,1.12,3.88,"Level"
"272","21-2011.00","Clergy",4.12,4.5,3.75,4,4.12,0,0,0,3.88,4,4.25,3.38,3.12,3.88,2.5,4.12,3.88,1.25,1.38,0.88,4.38,0.5,0.38,4.75,0,0.88,4.25,5.38,4.75,2.88,3.88,0.5,3.62,0,4.38,"Level"
"273","21-2021.00","Directors, Religious Activities and Education",3.75,3.75,3.75,3.88,3.88,0,0,0,3.25,3.38,3.75,3.12,2.75,3.62,2.88,3.88,2.88,0.62,1.5,2.62,3.62,0.75,1.12,4.12,0,0.88,3.5,4.5,4,3,3.25,0.62,3.62,0,3.88,"Level"
"274","23-1011.00","Lawyers",4.25,4.5,4,3.5,4.88,0,0,0,3.25,4.38,3.25,1.5,1.25,3.12,2,3.62,4.25,1,1.25,2.88,4.75,0.5,0,4.5,0,1.12,3.62,3.88,4.88,3.38,3,0.75,3.75,0,4.62,"Level"
"275","23-1012.00","Judicial Law Clerks",4,4,3.75,3,4.25,0,0,0,2.75,3.5,2.88,0,0.5,0.62,1.75,3.25,2.62,0,0.88,0.75,3.5,0.38,0.75,4.5,0,0,2.88,3.5,4.25,2.38,2.38,0.88,3.38,0.38,4.25,"Level"
"276","23-1021.00","Administrative Law Judges, Adjudicators, and Hearing Officers",4.25,5.75,4.12,3.12,5.12,0,0,0,3,4.62,3,1.25,0.62,2.62,2.5,4.12,3.62,0,0.75,2.12,3.62,1,0.62,5.12,0,0.88,2.88,3.88,5.12,2.88,3.25,0.5,3.12,0,5,"Level"
"277","23-1022.00","Arbitrators, Mediators, and Conciliators",3.75,4.88,3.5,3.38,4.62,0,0,0,2.88,4,2.75,0,0,1.88,1.5,3.75,5,0.25,0.62,1.62,4.62,0.5,0.38,4.38,0,0.75,3.25,3.75,4.5,2.88,2.88,0.5,2.88,0,4.12,"Level"
"278","23-1023.00","Judges, Magistrate Judges, and Magistrates",4.88,5.88,4.75,3.38,5.62,0,0,0,3.38,5,3.25,0,0,3.12,2.38,4.12,4.12,0,0.38,2.62,4.12,0.38,0.5,5.12,0,1.62,3,4.12,5.38,3.38,3.38,0.5,3.75,0,5.12,"Level"
"279","23-2011.00","Paralegals and Legal Assistants",3,3.75,2.62,3.12,3.25,0,0,0,2.5,2.75,2.5,0.25,0.25,2.25,1.75,2.88,2.5,0,1.25,1,2.62,0.5,0.25,3.5,0,0.88,2.88,3,3.5,2.25,2,0.62,3,0,3.75,"Level"
"280","23-2091.00","Court Reporters",2.88,3.5,2.25,2.25,3,0.38,0.12,0,0.5,2.12,1.62,0,0,0.5,0.62,2.75,1.5,1.75,2,0.38,1.25,0,1.88,3.5,0.25,0,2.25,2.25,3,1.12,0.88,0,2.62,0.62,3.25,"Level"
"281","23-2093.00","Title Examiners, Abstractors, and Searchers",2.75,3.75,2.88,2.88,3.75,0,0,0,2.38,2.88,2.25,1.25,1.38,2.62,2.25,3,2.62,0,0.75,1.75,2.75,0.38,0.25,3.62,0,0.38,2.88,2.75,3.62,2,1.38,0,3.5,0,3.75,"Level"
"282","25-1011.00","Business Teachers, Postsecondary",4.25,4.25,3.62,3.38,4.5,0,0,0,4.62,3.88,4.5,0.88,1.12,2.38,3.5,4.12,2.88,0.25,1,2.75,3.38,1.12,1,5,0,1.62,3.12,3.5,4.88,3.38,3.25,0.75,3.5,0,5,"Level"
"283","25-1021.00","Computer Science Teachers, Postsecondary",4.38,4.38,4,3.25,4.5,1.25,1,0,4.5,3.88,4.5,1.12,1.75,2.88,3.62,3.75,2.5,0.88,1.12,2.62,3.12,3,2,4.88,0.12,2.5,2.88,3.5,4.88,3.38,3.38,1.62,3.62,0.88,4.75,"Level"
"284","25-1022.00","Mathematical Science Teachers, Postsecondary",4,4,3.75,2.88,4.38,0,0,0,4.38,3.38,4.12,0.62,1.12,2.62,4.62,3.75,2.75,0,0.12,2.38,2.88,0.5,0.62,4.75,0,2.12,2.62,3.25,4.25,2.88,3,0.25,3.25,0,4.75,"Level"
"285","25-1031.00","Architecture Teachers, Postsecondary",4.38,4.25,4.25,3.38,4.5,0,0,0,4.62,4.12,4.38,1.12,1.75,3.12,3.75,4.12,2.88,0,0.62,3,3.5,0.62,0.88,5,0,2.38,3.12,3.5,4.75,3.25,3.25,0.88,3.5,0,5,"Level"
"286","25-1032.00","Engineering Teachers, Postsecondary",3.75,4,3.38,2.75,4.12,0,0,0,4.5,3.75,4,1.5,1.5,2.88,4.38,4,2.88,0,1.62,2.88,3,1.62,1.38,4.88,0,3.25,2.75,3.5,4.5,3.12,3,1.75,3,0.25,4.5,"Level"
"287","25-1041.00","Agricultural Sciences Teachers, Postsecondary",4.5,4.5,3.5,3.38,4.12,0,0.12,0,4.88,3.88,4.25,1.75,2,3.12,3.38,4.25,2.75,1.25,1.25,2.25,3.12,1.25,2.38,5.12,0,3.38,3,3.25,5,3.12,3.25,0.5,3.62,0.75,5,"Level"
"288","25-1042.00","Biological Science Teachers, Postsecondary",4.25,4.38,3.75,3,4.12,0,0,0,4.38,4,4.12,2,2.12,2.88,3,3.75,2.75,0,0.88,2.75,3,0.38,1,5.12,0,3.75,3,3.5,4.75,3.12,3.12,0.12,3.38,0,4.88,"Level"
"289","25-1043.00","Forestry and Conservation Science Teachers, Postsecondary",4.25,4.5,4,3.12,4.12,0,0,0,4.75,3.62,4.25,1.5,1.88,3,3,4,2.88,1,1,2.75,3.25,1,0.62,5,0,3.38,3.12,3.5,4.88,3.25,3.12,0.5,3.38,0,5,"Level"
"290","25-1051.00","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",4,4.75,3.88,3.12,4.12,0.5,0.38,0,4.12,4,4.25,1.5,2.38,3.12,4,4.12,3,0,1,3.12,3.12,0.5,1.12,5,0.25,4.12,3.12,3.62,4.75,3.75,3.75,0.75,3.75,0.75,4.88,"Level"
"291","25-1052.00","Chemistry Teachers, Postsecondary",4.38,4.25,4,3,4.38,0.12,0.88,0,4.5,3.88,4.25,1.62,1.88,2.88,3.5,4.12,2.12,0.25,1.62,3,2.75,1,2.25,5.12,0,4.5,3,3.12,5,3.25,3.38,0.62,3.5,0.88,4.88,"Level"
"292","25-1053.00","Environmental Science Teachers, Postsecondary",4,4.12,4.12,3.38,4.12,0,0,0,4.25,4,4.12,2,2,3.12,3.12,4,2.88,0,0.5,3.12,3.12,0.25,1.62,5,0,4.5,3.25,3.88,4.25,3.38,3.25,0.12,3.62,0.38,5,"Level"
"293","25-1054.00","Physics Teachers, Postsecondary",4.38,4.62,4,3.25,4.5,1.12,1.12,0,4.25,3.75,4.25,1.12,2,3,4,4,2.25,0,1.12,2.62,3.12,1.12,2,5.25,1.12,4.5,3,3.38,5,3.38,3.25,0.38,3.38,1,5.12,"Level"
"294","25-1061.00","Anthropology and Archeology Teachers, Postsecondary",4.12,4.25,3.88,3.25,4,0,0,0,4,4,3.88,1.12,1.5,3,2.75,3.88,2.88,0,0,2.62,3.25,0.25,0.38,4.88,0,3.88,2.88,3.88,4.75,3.25,3.62,0.12,3.75,0,4.75,"Level"
"295","25-1062.00","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",4,4.38,3.75,3,4.25,0,0,0,3.88,3.75,4.12,0.62,1.12,3,2.25,4,2.38,0,0.38,2.62,3.12,0.62,0.75,5,0,3.75,3,3.38,4.75,3,3.12,0.5,3.5,0,4.75,"Level"
"296","25-1063.00","Economics Teachers, Postsecondary",4,4.12,3.5,3,3.88,0,0,0,4,3.62,3.88,1.25,1.38,2.75,3.5,3.62,2.38,0,1.25,3.12,2.62,1.38,0.5,4.25,0,3.12,2.5,3.62,4.12,3,3.12,1,3,0,4,"Level"
"297","25-1064.00","Geography Teachers, Postsecondary",4.25,4.38,3.62,3.5,4.12,0,0,0,4.5,3.75,4.12,1.25,1.38,3,3.12,4.12,2.5,0,0.38,2.88,3,0.88,0.75,5,0,3.88,3.12,3.38,4.88,2.88,2.88,0.5,3.38,0,5,"Level"
"298","25-1065.00","Political Science Teachers, Postsecondary",4.12,4.12,3.75,3,4.12,0,0,0,4.25,3.62,4.12,1,1.12,3,2.38,4,2.62,0,0,3.12,3,0.12,0.25,4.75,0,3.38,3,3.62,4.75,3.12,3.12,0.12,3.25,0,4.75,"Level"
"299","25-1066.00","Psychology Teachers, Postsecondary",4.5,4.62,3.62,3,4.25,0,0,0,4.38,4,5,0.75,1.12,3.12,3.38,4.12,2.75,0,0.25,2.5,3.12,0.88,0.88,5,0,4.25,3.12,4.62,4.88,3.12,3.38,0.5,3.75,0,5,"Level"
"300","25-1067.00","Sociology Teachers, Postsecondary",4.38,4.25,3.75,3,4.12,0,0,0,4.38,3.88,4.5,0.75,1.12,3.12,3,4.12,3,0,0,2.88,3,0,0.5,4.88,0,3.62,2.88,3.62,4.75,3,3,0,3.75,0,4.88,"Level"
"301","25-1071.00","Health Specialties Teachers, Postsecondary",4.12,4.88,4,3.5,4.38,0,0.5,0,4.38,3.88,4.12,1.25,1.5,3.12,2.88,4,3,0,1.38,2.5,3.25,0.25,1,5,0,3.38,3.25,3.75,4.75,3.12,3.12,0.5,3.75,0.25,4.88,"Level"
"302","25-1072.00","Nursing Instructors and Teachers, Postsecondary",4.38,4.5,4,3.88,4.38,0,0.12,0,4.62,4,4.25,0.88,1.5,3.12,2.88,4.25,2.88,1.38,1.5,2.5,3.38,0.88,2,5,0.12,3.25,3.25,4.25,4.75,3.38,3.38,0.62,3.62,0.75,4.62,"Level"
"303","25-1081.00","Education Teachers, Postsecondary",4,4.5,3.88,3.12,4,0,0,0,4.12,3.75,4.25,1,1.62,3,2.38,4.25,2.88,0,0,2.75,2.88,0.12,0.5,4.88,0,2.5,3.12,3.62,4.88,3.12,3.12,0.25,3.75,0,4.75,"Level"
"304","25-1082.00","Library Science Teachers, Postsecondary",4.12,4.5,3.75,3.5,4.12,0,0,0,4,3.62,4.25,1.38,1.5,3,2.38,4.25,2.62,0,0.62,2.25,2.88,0.88,1.12,4.88,0,2.12,2.88,3.62,4.75,3.38,3.25,0.75,3.62,0,4.88,"Level"
"305","25-1111.00","Criminal Justice and Law Enforcement Teachers, Postsecondary",4,4.5,3.62,3,4.12,0,0,0,4.12,3.75,4,1,1.12,3.12,2,4,2.88,0,0.12,2.38,3.12,0.12,0.25,4.75,0,2,3,3.62,4.75,3.12,3,0,3.38,0,4.38,"Level"
"306","25-1112.00","Law Teachers, Postsecondary",4.75,4.88,3.75,3.25,4.88,0.12,0,0,4.38,4,4.25,0.25,0.38,2.62,2.12,4.12,3.38,0.12,0.5,1.88,3.62,0.5,0.88,5.12,0.12,1,3,3.12,5.12,3.25,3.38,0.38,3.38,0.12,4.88,"Level"
"307","25-1113.00","Social Work Teachers, Postsecondary",4.5,4.25,3.75,3.62,4.25,0,0.25,0,4.75,4,4.5,1.12,1.75,3.12,2.75,4,3,0.25,0.62,2.88,3.25,0.62,0.62,4.75,0,2.38,3.38,4,4.88,3,3.38,0.5,3.5,0,4.88,"Level"
"308","25-1121.00","Art, Drama, and Music Teachers, Postsecondary",4,4,3.38,3.25,4,0,0.5,0,4.62,3.75,4,1.88,2.25,3.12,2.25,4,2.75,0,0.38,2.62,3.12,0.12,0.62,4.62,0,1.38,3.25,3.75,4.5,3.12,2.88,0.38,4,0,4.12,"Level"
"309","25-1122.00","Communications Teachers, Postsecondary",4.25,4.25,3.62,3,4.25,0,0,0,4.5,3.62,4.5,0.88,1.25,3,2.75,4,2.62,0,0.62,2.25,2.88,0.62,0.88,4.88,0,1.75,3.12,3.5,4.88,3.12,3,0.62,3.5,0,4.62,"Level"
"310","25-1123.00","English Language and Literature Teachers, Postsecondary",3.88,4.25,3.62,3,4.12,0,0,0,4.25,4,4.62,0.38,0.75,2.88,2.12,4,2.88,0,0,2.12,3,0.25,0.5,4.75,0,1,3.12,3.62,4.5,2.88,3,0.12,3.25,0,5,"Level"
"311","25-1124.00","Foreign Language and Literature Teachers, Postsecondary",4.12,4.5,3.5,3.12,4,0,0,0,4.38,3.62,4.38,0.25,0.88,3,1.75,4.12,2.75,0,0.5,2.62,2.88,1.12,1.38,5,0,1.75,3.12,3.5,4.88,3,3.12,0.62,3.38,0,4.88,"Level"
"312","25-1125.00","History Teachers, Postsecondary",4.12,4.12,3.5,3.12,4,0,0,0,4.12,3.88,4.25,0.75,0.62,2.88,2,3.88,3,0,0,2.62,3,0.12,0.5,4.88,0,2.25,3,3.5,4.75,3.12,3.12,0,3.5,0,5,"Level"
"313","25-1126.00","Philosophy and Religion Teachers, Postsecondary",4.25,4.38,3.62,2.75,4.38,0,0,0,4.12,3.5,4.25,0.38,0.88,2.88,2.12,4,2.62,0,0.62,2.38,3,0.62,0.62,4.88,0,2,3,3.25,4.62,3.12,3.12,0.62,3.12,0,5,"Level"
"314","25-1191.00","Graduate Teaching Assistants",2.62,3.62,2.88,2.88,3.12,0,0,0,3.5,3,2.88,0,0.12,1.62,1.5,3,2,0,1.12,2,2.5,0.62,0.75,4,0,1.25,3,3,3.5,1.88,1.88,0.62,2.75,0.75,3.38,"Level"
