"","O.NET.SOC.Code","Title","Administration.and.Management","Biology","Building.and.Construction","Chemistry","Clerical","Communications.and.Media","Computers.and.Electronics","Customer.and.Personal.Service","Design","Economics.and.Accounting","Education.and.Training","Engineering.and.Technology","English.Language","Fine.Arts","Food.Production","Foreign.Language","Geography","History.and.Archeology","Law.and.Government","Mathematics","Mechanical","Medicine.and.Dentistry","Personnel.and.Human.Resources","Philosophy.and.Theology","Physics","Production.and.Processing","Psychology","Public.Safety.and.Security","Sales.and.Marketing","Sociology.and.Anthropology","Telecommunications","Therapy.and.Counseling","Transportation"
"234","19-3032.00","Industrial-Organizational Psychologists",5.06,0.75,0.21,0.38,3.49,3.06,4.12,4.84,0.9,2.37,6.07,1.06,5.36,0.38,0.43,0.77,1.92,0.96,2.88,5.19,0.62,0.43,6.38,2.26,0.59,1.69,6.29,1.11,3.52,4.19,1.03,3.32,0.79
"235","19-3039.01","Neuropsychologists and Clinical Neuropsychologists",4.03,4.38,0.21,1.47,3.68,2.85,3.85,5.09,0.67,2.41,5.65,0.94,5.5,0.65,0.09,1.5,1,1.5,3.59,4.62,0.76,4.27,3.79,3.74,1.03,1.06,6.97,2.12,2.88,4.53,1.29,6.82,0.91
"236","19-3041.00","Sociologists",3.97,1.34,0,0.24,3.24,3.72,3.93,2.61,0.11,1.82,4.69,0,5.48,0.41,0.03,2,3.14,3.52,3.34,5.1,0,0.9,2.83,4.14,0.14,0.41,4.52,1.18,2.1,6.69,0.5,1.59,0.41
"237","19-3051.00","Urban and Regional Planners",4.69,2.56,2.61,1.67,3.5,3.97,3.31,4.78,4.03,3.33,4.57,2.53,5.06,2.11,0.56,1.34,5.34,3.61,4.39,4.17,0.81,0.37,4.08,2.97,1.39,1.33,3.14,3.47,3.33,4.34,1.53,1.31,3.69
"238","19-3091.01","Anthropologists",3.75,3.86,1.32,2.21,4,4.68,3.71,2.89,1.46,1.79,5.82,1.11,5.57,1.74,1.64,3.93,4.75,5.44,3.11,4.11,1.39,2.67,3.39,4.3,1.43,1.29,3.96,1.68,1.68,6.64,1.14,1.64,1.18
"239","19-3091.02","Archeologists",4.15,2.91,1.27,2.76,4,3.67,4.27,2.48,2.39,1.88,4.94,1.88,5.45,2.06,0,4.5,5.45,6.79,2.97,3.88,2.24,1.24,3.06,3.48,1.45,1.27,1.82,2.33,1.39,6.3,1.03,0.76,1.76
"240","19-3092.00","Geographers",3.96,3.46,0.72,2.16,3.16,3.12,4.92,3.56,2.6,2.04,4.84,1.44,5.08,0.6,0.48,3.2,6.88,3.84,3.32,4.48,0.68,0.64,2.32,3.64,2.2,1.24,2.92,1.52,1.92,5.2,1.24,0.56,2.92
"241","19-3093.00","Historians",3.58,1.39,1.93,1.73,4.03,3.04,3.85,3.81,2.65,1.57,4.02,1.22,4.5,3.56,0.67,1.85,4.42,5.44,2.02,2.79,1.39,0.68,1.56,3.5,0.8,2.1,2.29,2.24,2.44,3.74,1.07,0.52,1.56
"242","19-3094.00","Political Scientists",3.68,0.91,0,0.13,3.41,4.09,3.82,3.91,0.78,1.86,5.14,0.64,6,0.45,0,3.65,4.14,4.73,5.74,4.13,0.09,0.13,3.3,4.74,0.35,0.73,3.09,1.55,1.74,4.87,0.78,1.13,0.77
"243","19-3099.01","Transportation Planners",4.16,1.53,2.75,0.53,3.75,3.22,4.31,5,3.72,2.81,3,3.66,4.62,0.47,0.16,0.91,5.34,2.62,4.03,4.72,0.72,0.06,2.94,1.19,1.19,1.38,2.31,2.59,3.59,3.16,1.25,0.38,5.38
"244","19-4011.01","Agricultural Technicians",4.09,4.78,1.56,4.43,4.51,2.5,4.7,2.49,2.23,1.31,4.08,3.03,4.12,0.04,2.63,1,4.63,1.68,2.45,4.54,3.15,1.17,3.77,0.79,3.01,2.48,2.01,2.69,1.6,0.92,0.76,0.95,2.39
"245","19-4011.02","Food Science Technicians",2.59,3.01,0.74,3.94,3.7,2.38,3.47,3.82,1.47,0.96,3.35,2.16,3.23,0.7,3.42,0.93,0.89,0,2.36,3.28,2.99,0.97,1.68,1.18,1.78,4.23,1.62,2.69,1.08,0.51,1.08,0.02,1.34
"246","19-4021.00","Biological Technicians",2.74,5.43,0.62,4.5,3.07,1.85,4,1.72,1.4,1.03,3.33,2.38,3.71,0.28,0.82,0.61,1.18,0.41,1.64,3.76,2.72,1.84,1.53,0.48,2,2.07,1.4,1.99,0.71,0.56,0.7,0.52,0.97
"247","19-4031.00","Chemical Technicians",0.64,1.07,0.74,4.61,1.29,0.75,2.78,1.81,0.89,0.35,2.3,1.89,3.01,0,1.09,0.01,0.22,0,1.11,3.45,2.08,0.1,0.9,0.01,2.03,2.26,0.19,1.85,0.34,0.14,0.38,0.02,0.94
"248","19-4041.01","Geophysical Data Technicians",3.76,1.3,2.11,2.82,3.13,1.73,4.94,3.36,2.86,1.62,2.96,5.03,3.96,0.16,0.24,1.34,4.77,2.23,2.84,4.56,3.06,0.53,2.61,0.27,4.27,2.09,0.94,2.77,2.82,0.89,1.75,0.19,2.63
"249","19-4041.02","Geological Sample Test Technicians",2.1,1.9,1.57,4.48,2.55,2.33,4.1,2.33,2.57,0.71,2.33,3.52,3.86,0.33,0,0.86,4.1,1.9,1.57,4.29,3.71,0.14,0.95,0.86,3.62,2.81,0.67,2.05,0.62,0.29,1.1,0.57,1.71
"250","19-4051.01","Nuclear Equipment Operation Technicians",2.46,1.63,1.98,4.08,1.89,1.32,3.35,1.7,2.41,0.41,3.16,3.67,3.25,0,0,0,0.31,0.67,2.13,3.98,4.26,0.88,1.63,0.47,4.16,2.36,1.44,4.31,0.24,0.69,1.87,0.41,1.25
"251","19-4051.02","Nuclear Monitoring Technicians",2.2,2.32,1.62,3.59,2.39,1.75,3.82,2.71,1.73,0.55,3.22,2.4,3.35,0,0.06,0.08,0.72,0.38,2.7,4.3,3.04,0.96,1.19,0.51,3.65,1.29,1.63,3.35,0.17,0.77,2.17,0.85,1.65
"252","19-4061.00","Social Science Research Assistants",3.44,1.56,0.16,0.5,4.89,3.03,4.68,3.44,1.29,1.14,4.3,1.14,4.82,0.39,0.04,0.8,1.08,1.15,2.73,3.76,0.75,1.21,2.17,2.49,0.41,0.98,4.95,1.7,1.15,3.87,1.54,2.62,0.94
"253","19-4061.01","City and Regional Planning Aides",3.5,1.8,3.2,0.7,3.65,3.1,3.55,5.1,4.15,2.1,3,2.6,4.79,0.8,0.3,1.16,5.5,3.25,4.1,4.3,0.7,0.37,2.15,1.7,1.35,0.9,1.75,3.1,1.65,2.9,1.2,0.53,2.85
"254","19-4091.00","Environmental Science and Protection Technicians, Including Health",3.41,4.36,2.87,4.5,3.67,1.96,4.71,4.19,2.91,1.22,3.2,3.27,3.87,0,0.51,0.34,3.74,1.14,3.31,4.31,3.29,0.47,1.74,0.5,3.76,2.31,0.6,3.57,1.46,0.33,0.9,0.32,2.25
"255","19-4092.00","Forensic Science Technicians",2.37,3.09,1.08,4.03,3.68,2.81,4.24,3.77,2.35,0.61,3.68,3.19,4.03,0,0,0.48,2.09,1.95,4.72,3.48,3.04,1.85,1.27,1.57,2.13,1.72,3.36,4.41,0.31,2.37,2.61,1.2,2.1
"256","19-4093.00","Forest and Conservation Technicians",3.15,3.32,2.72,2.32,3.31,2.36,3.8,3.46,2.88,2.27,3.8,3.16,3.92,0.46,1.35,0.77,4.54,2.96,3.32,3.69,3.65,1.68,3.04,2.16,2.12,2.38,2.76,3.48,2.31,2.08,2.04,1.96,3.62
"257","19-4099.01","Quality Control Analysts",2.02,2.02,0.36,4.41,3.59,2.25,3.96,2.74,1.03,0.5,2.9,2.39,3.33,0,1.63,0.22,0.43,0.07,1.55,3.89,2.93,0.55,1.18,0.34,2.1,3.56,1.48,2.66,1.05,0.98,0.93,0.34,1.75
"258","19-4099.02","Precision Agriculture Technicians",3.64,3.79,1.18,3.68,3.93,2.5,4.5,4.89,3.11,2.79,3.54,3.36,3.79,0.18,3.82,0.93,4.14,0.89,2.82,4.21,3.89,0.19,2.54,0.64,2.71,3.43,1.79,2.68,3.61,1.04,2.29,0.36,2.61
"259","19-4099.03","Remote Sensing Technicians",3.01,1.09,1.08,0.68,3.59,2.2,5.29,3.9,2.93,1.37,3.65,3.98,3.56,0.41,0,0.58,6.15,0.75,1.19,4.48,1.15,0.15,1.94,0.03,1.66,3.39,1.84,1.59,2.43,1.22,1.75,0.22,1.28
"260","21-1011.00","Substance Abuse and Behavioral Disorder Counselors",3.02,2.78,0.67,1.85,4.69,2.96,4.23,5.32,0.75,1.71,4.98,0.91,4.54,1.08,0.49,1.55,1.31,2.15,3.4,2.61,0.73,2.6,3.04,4.28,0.8,1.66,6.2,2.91,2.55,4.24,1.55,6.63,1.53
"261","21-1012.00","Educational, Guidance, School, and Vocational Counselors",3.77,0.95,0.88,0.83,4.84,2.85,4.15,5.25,0.63,1.6,5.61,1.06,4.84,1.18,0.19,1.37,2.9,2.14,2.84,3.5,0.75,1.49,2.71,3.45,0.43,1.11,5.53,2.36,2.75,4.46,1.19,6.28,1.41
"262","21-1013.00","Marriage and Family Therapists",2.66,1.1,0,0.65,3.12,2.01,2.69,5.8,0.02,1.03,4.46,0,4.52,0.36,0.08,0.27,1.32,0.7,2.62,1.53,0.18,2.74,2.83,4.33,0,0.55,6.4,2.21,2.12,3.81,0.95,6.74,1.47
"263","21-1014.00","Mental Health Counselors",3.02,1.26,0.03,0.88,4.42,2.82,3.13,5.69,0.44,0.55,5.07,0.47,4.92,1.01,0.34,1.76,1.03,1.52,3.46,1.89,0.05,2.4,2.92,4.2,0.34,1.54,6.53,2.84,1.36,5.02,1.22,6.63,1.41
"264","21-1015.00","Rehabilitation Counselors",3.35,0.37,0.07,0.34,4.16,2.52,3.35,5.26,0.16,1.26,4.68,0.51,3.92,0.21,0.11,1.23,0.28,0.42,2.93,2.47,0.37,1.79,2.69,2.71,0.1,1.6,5.29,2.79,1.93,3.58,1.26,5.51,1.54
"265","21-1021.00","Child, Family, and School Social Workers",2.44,0.54,0,0.36,3.66,1.34,3.1,4.7,0,0.66,2.99,0,4.06,0,0,1.53,0.87,0.33,3.42,1.39,0.31,1.44,1.46,3.32,0,0.09,4.98,1.63,0.37,3.38,0.45,6.12,1.77
"266","21-1022.00","Healthcare Social Workers",3.04,1.48,0.08,0.8,3.92,2.54,3.24,6.12,0.2,1.8,5.04,0.32,5.2,0.12,0.12,1.88,1.88,1.36,3.04,2.4,0.44,3,2.67,3.72,0.04,0.52,6.48,2.08,2.4,4.76,0.92,6.84,1.92
"267","21-1023.00","Mental Health and Substance Abuse Social Workers",2.42,1.07,0.2,0.8,3.5,2.4,3.49,5.86,0.31,1.19,4.06,0.28,4.18,0.95,0.32,1.32,1.78,1.49,2.7,2.82,0.22,2.21,2.66,3.83,0.2,0.49,6.54,2.3,1.92,4.91,1.04,6.51,1.69
"268","21-1091.00","Health Educators",3.54,2.01,0.16,0.56,4.48,4.06,3.25,5.1,0.52,2.06,5.57,0.28,5.08,0.69,0.12,0.99,0.98,0.74,1.77,3.01,0.16,2.46,2.09,2.44,0.17,0.43,4.31,2.25,3.41,3.98,0.91,4.08,0.38
"269","21-1092.00","Probation Officers and Correctional Treatment Specialists",3.47,0.46,0.05,1.37,4,2.33,4.05,4.92,0.42,1.35,4.15,0.79,4.59,0.16,0.25,1.94,2.08,1.19,4.34,2.17,0.54,1.46,1.47,2.88,0.01,0.79,4.93,4.36,0.75,4.08,1.41,4.96,1.66
"270","21-1093.00","Social and Human Service Assistants",2.34,0.54,0.12,1.04,4.12,2.23,3.5,4.98,0.05,0.99,3.54,0.4,3.76,0.39,0.65,0.99,1.33,0.79,2.9,2.44,0.18,2.32,1.97,3.67,0.43,0.56,5.21,2.81,1.11,3.88,1.06,4.88,1.99
"271","21-1094.00","Community Health Workers",4.03,2.76,0,2.11,4.81,2.73,3.73,5.37,0.85,1.28,4.56,0.22,3.64,0.32,0.74,1.53,1.09,0.42,2.55,2.66,0.2,2.91,3.61,3.12,0.04,1.84,4.35,2.34,3.09,3.07,1.01,4.26,1.19
"272","21-2011.00","Clergy",4.16,0.35,1.38,0.24,3.08,3.51,3.64,4.16,0.88,2.33,4.9,0.95,4.87,2.36,0.74,2,2.69,4.14,3.07,1.77,1.48,0.78,4.04,6.56,0.15,1.27,4.76,2.38,3.42,3.99,1.47,5.3,1.38
"273","21-2021.00","Directors, Religious Activities and Education",4.21,0.22,0.81,0.71,3.79,3.45,3.63,5.55,0.95,2.07,5.11,0.49,3.93,2.13,0.28,0.86,1.89,2.06,1.53,1.95,0.78,1.43,3.45,6.04,0.21,1.19,4.25,2.13,3.34,3.47,1.34,4.2,1.84
"274","23-1011.00","Lawyers",4.2,1.13,0.51,0.65,4.03,2.17,3.76,5.14,0.29,2.88,2.15,0.86,5.9,0.14,0.05,0.94,1.51,1.22,6.45,3.01,0.73,1.34,3.63,1.43,0.64,0.33,3.17,1.99,3.15,2.18,1.02,1.9,0.56
"275","23-1012.00","Judicial Law Clerks",1.76,0,0,0,4.2,2.28,4.05,2.24,0,0.89,1.24,0.2,5.4,0,0,0.38,1.32,1.63,5.36,2.2,0.17,0.35,1.12,2.35,0,0.72,1.55,1.12,0.08,1.31,1.05,0.19,0.58
"276","23-1021.00","Administrative Law Judges, Adjudicators, and Hearing Officers",3.69,1.26,0.8,0.79,3.58,2.1,3.66,3.92,0.88,1.48,3.04,0.75,5.08,0.26,0.26,0.92,1.36,0.95,5.48,3.39,0.54,1.9,2.78,2.09,0.84,0.86,3.53,2.41,0.82,1.84,1.47,2.48,1.3
"277","23-1022.00","Arbitrators, Mediators, and Conciliators",2.93,0.26,0.46,0.11,3.52,1.71,2.36,3.79,0.61,2.21,3.21,0.25,4.68,0.25,0.22,0.46,1.3,1.18,4.39,2.63,0.3,0.57,3.32,2.71,0.11,1.18,4.48,1.36,2.54,3.67,0.5,2.96,0.96
"278","23-1023.00","Judges, Magistrate Judges, and Magistrates",3.95,0.99,1.23,0.82,3.63,2.48,3.54,4.59,0.87,2.09,3.53,1.3,5.3,0.45,0.2,0.49,1.91,2.36,5.98,2.73,1.29,2.17,3.4,3.49,0.81,0.97,5.15,4.02,1.05,3.72,1.36,3.77,1.39
"279","23-2011.00","Paralegals and Legal Assistants",2.57,0.24,0.16,0.3,5.42,2.47,3.82,3.33,0.22,1.3,2.67,0.15,4.95,0,0,1.5,0.96,0.2,4.64,2.8,0.45,1.66,1.7,0.52,0.17,0.45,2.35,1.25,0.19,0.59,1.09,1.79,0.71
"280","23-2091.00","Court Reporters",1.79,0.08,0.12,0.09,5.81,0.83,4.55,3.59,0.17,1.1,1.36,0.69,5.15,0.04,0.03,0.37,0.92,0.26,3.38,1.14,0.52,0.3,0.59,0.29,0.13,1.66,1.05,0.65,1.11,0.6,0.58,0.23,0.31
"281","23-2093.00","Title Examiners, Abstractors, and Searchers",3.09,0,0.23,0,4.9,2.17,3.32,4.25,1.46,1.45,2.36,0.23,3.82,0,0,0.19,3,1.45,4.13,2.56,0.05,0,1.65,0.02,0,1.28,0.3,1.18,2,0.08,0.59,0.03,0.96
"282","25-1011.00","Business Teachers, Postsecondary",4.41,1.02,0.84,0.93,4.12,4.81,4.31,4.66,1.62,4.09,6.4,1.39,6,1.34,0.41,1.98,3.27,2.52,3.52,4.69,0.47,1.02,4.42,3.52,0.74,2.61,4.47,1.92,4.64,4.62,2.36,2.68,2.47
"283","25-1021.00","Computer Science Teachers, Postsecondary",3.41,1.62,0.69,1.85,4.06,4.04,6.13,3.4,4.17,0.91,6.05,4.87,5.65,0.85,0,1.57,1.34,1.61,1.75,5.13,3.11,0.06,1.74,1.44,3.17,1.66,2.63,2.18,0.91,1.48,3.98,1.97,1.87
"284","25-1022.00","Mathematical Science Teachers, Postsecondary",2.25,1.69,0.36,1.74,3.33,2.77,4.25,3.81,1.73,1.01,5.69,1.53,4.63,0.81,0.06,1.13,1.93,1.93,1.78,6.54,1.04,1.18,2.74,2.91,2.88,0.88,3.05,1.88,1.17,2.49,1.35,2.16,1.9
"285","25-1031.00","Architecture Teachers, Postsecondary",3.66,3.46,5.34,3.08,3.39,4.64,4.81,3.66,6.2,2.95,6.08,5.81,5.71,5.38,0.98,2.97,4.46,4.8,3.93,4.46,3.55,0.59,3.93,4.51,3.81,1.81,3.49,4.01,2.64,4.67,2.46,2.29,2.67
"286","25-1032.00","Engineering Teachers, Postsecondary",3.34,2.93,3.67,4.49,3.03,3.54,5.17,2.75,5.15,2.46,5.97,6.03,5.83,0.64,0.85,1.57,3.13,1.45,3.17,6.19,4.32,1.63,3.48,1.53,5.61,2.2,3.53,3.63,1.96,2.48,2.79,1.28,3.33
"287","25-1041.00","Agricultural Sciences Teachers, Postsecondary",4.22,5.39,1.27,3.48,3.33,3.58,4.09,3.74,1.96,2.76,5.82,2.16,4.94,0.57,3.08,1.03,3.58,2.01,2.36,4.99,1.64,1.29,3.38,1.43,1.95,1.01,2.73,2.8,2.92,1.76,1.41,1.54,2.79
"288","25-1042.00","Biological Science Teachers, Postsecondary",3.15,6.36,0.69,4.88,3.32,3.37,4.33,3.58,1.36,1.14,6.01,1.94,5.28,0.86,0.76,1.38,3.64,2.69,1.84,4.77,1.57,2.8,2.38,2.61,3.56,1.15,3.27,1.8,1,2.54,1.15,2.59,1.3
"289","25-1043.00","Forestry and Conservation Science Teachers, Postsecondary",4.26,5.81,1.57,4.59,3.53,4.18,4.37,3.76,2.55,2.36,6.24,4.06,5.12,0.35,1.24,1.68,4.62,2.57,3,5.08,2.44,1.69,3.03,3.14,3.4,1.74,2.71,2.6,2.27,2.56,2.33,1.54,2.23
"290","25-1051.00","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",3.24,3.91,0.61,5.24,3.44,3.95,4.68,2.58,2.52,1.72,6.27,3.86,5.45,0.29,0.07,1.88,4.87,2.6,2.49,5.5,2.52,1.31,3.42,1.61,4.98,2.21,2.65,2.19,1.92,1.38,2.29,0.91,1.55
"291","25-1052.00","Chemistry Teachers, Postsecondary",3.36,4.29,1.55,6.66,3.32,3,4.6,3.35,2.46,1.27,5.85,3.58,4.96,0.93,0.81,1.59,1.67,1.42,1.56,5.65,2.89,2.27,2.89,1.25,4.74,1.16,2.53,2.67,1.12,1.13,0.93,1.77,0.91
"292","25-1053.00","Environmental Science Teachers, Postsecondary",3.46,4.78,1,3.72,2.84,4.73,4.99,4.2,1.65,2.18,6.45,3.08,5.8,1.36,1.71,1.49,5.59,3.22,3.54,4.8,1.22,2.02,2.75,2.7,3.33,1.37,3.59,2.59,2.13,3.83,2.17,2.53,1.69
"293","25-1054.00","Physics Teachers, Postsecondary",2.9,1.84,1.8,3.9,2.12,2.16,5.43,2.31,4.09,0.89,5.44,4.63,4.7,0.15,0,1.56,3.89,2.42,1.56,6.92,3.68,0.31,3.18,2.87,6.97,0.98,2.32,1.73,1.27,2.1,2.99,1.93,0.64
"294","25-1061.00","Anthropology and Archeology Teachers, Postsecondary",3.24,3.54,0.68,2.22,2.79,3.96,4.11,2.92,1.95,1.1,5.95,0.95,5.8,1.87,1.09,3.86,5.35,6.17,2.36,3.69,1.17,1.5,3.24,4.84,1.19,0.74,3.66,1.97,1.13,6.24,1.04,2.74,1.33
"295","25-1062.00","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",3.67,2.49,0.13,0.56,3.74,3.46,4.37,4.01,2.09,1.43,5.85,0.52,5.89,2.79,0.44,5.48,5.26,5.13,3.91,3.12,0.44,1.48,2.71,4.5,0.58,1.62,4.37,0.93,2.58,5.87,1.29,3.17,1.05
"296","25-1063.00","Economics Teachers, Postsecondary",2.38,0.64,0.05,0.3,2.5,2.34,3.99,2.92,0.68,5.74,4.16,0.91,5.3,0.48,0.54,1.13,3.45,3.1,3.35,5.43,0.17,0.34,2.24,2.81,0.36,0.9,1.8,0.73,1.53,2.68,0.97,0.79,1.34
"297","25-1064.00","Geography Teachers, Postsecondary",3.33,4.47,1.13,2.69,3.44,3.26,4.53,3.47,2.2,2.49,5.57,2.68,5.85,1.26,0.55,2.55,6.79,4,2.64,4.91,2.2,0.24,3.26,3.28,2.55,1.05,2.82,1.93,1.55,4.32,1.08,1.63,2.17
"298","25-1065.00","Political Science Teachers, Postsecondary",3.84,1.23,0,0.71,4.13,4.99,4.41,4.58,0.66,3.04,6.13,0.55,6.01,1.56,0.07,3.09,4.54,5.41,5.42,4.23,0.38,0.52,3.65,6.2,0.77,0.84,4.09,2.97,2.11,5.11,1,2.87,1.27
"299","25-1066.00","Psychology Teachers, Postsecondary",2.76,3.43,0.72,1.29,3.93,3.41,3.98,3.52,0.88,1.65,5.89,0.96,5.57,0.54,0.18,0.77,2.11,2.92,2.53,4.34,0.76,2.44,3.25,4.52,0.75,0.65,6.32,1.38,1.94,4.71,1.12,4.73,1.07
"300","25-1067.00","Sociology Teachers, Postsecondary",3.34,1.12,0.06,0.21,3.66,3.44,4.68,4.07,0.71,1.65,6.01,0.21,6.05,0.83,0.01,1.59,3.77,4.34,3.23,4.43,0.09,0.57,2.57,5.35,0.21,0.26,4.45,1.46,1.93,6.57,1.18,2.73,0.54
"301","25-1071.00","Health Specialties Teachers, Postsecondary",3.34,4.76,1.08,3.29,3.86,3.36,3.49,3.91,2.25,1.55,6.43,2.1,5.51,0.4,0.8,0.81,1.52,0.95,3.24,4.33,2.41,5.27,2.94,2.03,3.36,1.25,4.76,2.87,2.16,3.94,2.29,4.23,0.74
"302","25-1072.00","Nursing Instructors and Teachers, Postsecondary",3.81,4.92,0.32,4.02,4.06,3.61,3.61,5.7,0.89,1.8,6.59,1.42,5.82,0.69,0.47,1.74,1.92,1.91,2.91,4.42,0.9,4.5,3.36,3.99,1.67,1.43,5.48,2.9,1.94,4.83,1.62,5.25,1.23
"303","25-1081.00","Education Teachers, Postsecondary",3.37,1.73,0,0.47,3.83,3.47,4.2,4.62,0.45,0.75,6.64,1.05,5.89,1.38,0.13,1.68,1.99,2.82,3.35,3.09,0.62,1.33,3.1,3.38,0.72,1.65,5.1,2.32,1.47,4.82,0.96,3.7,0.16
"304","25-1082.00","Library Science Teachers, Postsecondary",3.79,0.38,0.06,0.05,3.56,4.13,4.53,4.25,1.85,1.28,6.37,0.68,5.67,0.8,0,1.23,2.97,2.78,3.07,3.49,0.45,0.39,2.82,2.77,0.06,0.88,3.08,1.94,2.84,3.61,2.73,2.45,1.07
"305","25-1111.00","Criminal Justice and Law Enforcement Teachers, Postsecondary",3.29,1.85,1,1.52,3.69,3.55,4.05,3.67,1.1,1.57,5.61,1.61,5.56,1.1,0.32,1.8,3.43,3.37,5.22,3.19,1.1,1.56,2.74,3.51,0.93,1.08,4.56,4.88,1.7,4.7,2.29,3.79,1.82
"306","25-1112.00","Law Teachers, Postsecondary",2.03,0.06,0,0,2.26,4.63,3.85,3,0.78,0.68,6.37,0.02,6.29,1.01,0,1.38,2.15,3.64,6.57,1.95,0.01,0.13,2.63,3.5,0,0.35,2.76,1.7,0.74,3.16,0.92,1.77,0.84
"307","25-1113.00","Social Work Teachers, Postsecondary",3.01,0.85,0.02,0.03,3.19,3.88,4.09,3.59,1.17,1.79,6.69,0.45,5.67,0.31,0.27,0.35,3.56,3.36,3.45,4.6,0.03,1.07,3.75,4.69,0,0.85,6.23,1.26,2.28,6.04,1.26,6,0.94
"308","25-1121.00","Art, Drama, and Music Teachers, Postsecondary",3.04,0.48,1.33,0.9,3.02,4.18,3.98,2.84,2.72,0.76,5.81,1.29,5.48,6.82,0,2.39,2.58,4.35,1.81,2.43,1.26,0.29,2.24,4.79,1.14,0.33,3.4,0.87,1.88,3.49,1.06,2.2,0.87
"309","25-1122.00","Communications Teachers, Postsecondary",3.42,0.82,0.3,0.45,3.81,5.48,3.79,4.09,1.34,1.76,6.03,1.11,6.58,2.37,0.64,1.97,2.48,2.91,3.63,3.24,0.66,0.25,3.12,3.87,0.49,1.09,3.51,1.36,3.11,4.31,2.51,2.81,1.21
"310","25-1123.00","English Language and Literature Teachers, Postsecondary",2.87,0.25,0.04,0.02,3.47,4.9,3.7,3.37,0.62,0.41,5.63,0.47,6.44,3.47,0.1,2.17,2.31,3.38,1.46,2.43,0.09,0.41,1.97,4.65,0.16,0.23,3.44,1.61,1.14,3.94,0.69,2.3,0.96
"311","25-1124.00","Foreign Language and Literature Teachers, Postsecondary",2.06,0.85,0.14,0.39,3.71,3.2,3.53,2.7,0.51,0.62,5.44,0.19,5.63,2.31,0,6.24,3.4,3.82,1.47,2.38,0.72,0.63,2.12,4.06,0.17,0.84,3.13,1.56,1.79,3.89,0.86,2.34,0.96
"312","25-1125.00","History Teachers, Postsecondary",2.78,0.43,0.04,0,3.83,4.56,3.95,3.68,0.45,0.98,5.86,0.02,6.39,3.24,0.27,3.76,5.64,6.66,3.78,2.63,0.1,0.24,2.11,5.91,0.25,0.21,3.14,1.52,1.05,4.82,1.16,1.78,1.1
"313","25-1126.00","Philosophy and Religion Teachers, Postsecondary",3.34,0.69,0.49,0.55,2.72,4.5,3.93,2.85,0.32,0.85,5.84,0.45,6.33,2.05,0.06,3.84,3.14,4.06,2.08,2.92,0.49,0.39,3.53,5.73,0.55,0.85,3.04,1.98,2.04,3.34,1.08,2.77,1.02
"314","25-1191.00","Graduate Teaching Assistants",2.56,2.29,0.84,1.32,2.59,3.7,4.6,4.63,1.2,1.33,5.13,1.5,5.24,0.69,0.35,1.61,2.26,2.16,2.16,4,1.28,0.71,2.23,2.94,1.8,0.98,4.04,1.31,1.35,3.46,1.05,2.18,0.64
"315","25-1192.00","Home Economics Teachers, Postsecondary",3.15,2.01,0.62,1.66,3.83,3.5,4.6,3.77,1.66,2.17,6.01,1.04,5.66,1.31,1.9,2.1,3.13,3.17,2.87,3.87,0.92,1.51,3.57,3.69,0.7,1.38,4.77,2.51,2.19,5.05,0.89,3.69,1.62
"316","25-1193.00","Recreation and Fitness Studies Teachers, Postsecondary",2.9,3.67,0.24,2.49,2.6,3.43,3.58,3.84,1.05,0.95,6.21,0.67,5.27,1.01,0.93,1.3,0.97,1.97,2.67,3.18,1,3.22,2.51,2.87,2.13,0.94,4.15,2.93,1.49,3.58,1.1,3.71,1.33
"317","25-1194.00","Vocational Education Teachers, Postsecondary",2.71,1.14,0.17,2.54,3.05,2.57,2.53,4.58,1.65,1.18,5.7,0.84,4.42,1.64,0.05,0.32,0.18,1.39,2.1,2.58,1.26,1.35,3.33,1.78,0.51,0.99,3.64,2.61,2.67,2.61,1.59,3.07,1.24
"318","25-2011.00","Preschool Teachers, Except Special Education",2.46,0.96,0.24,1.49,1.96,2.19,1.97,4.42,0.7,0.39,3.7,0.36,3.08,1.08,0.82,1.03,2.25,1.77,1.3,1.91,0.22,1.79,1.21,2.67,0.53,0.7,2.97,2.61,1.7,2.52,0.62,2.55,1.25
"319","25-2012.00","Kindergarten Teachers, Except Special Education",1.96,1.82,0.19,1.13,1.74,2.39,1.7,4.07,0.1,0.05,3.96,0.21,3.61,2.12,0.62,1.12,3.07,1.99,1.52,2.03,0.49,1.43,1.22,2.9,0.73,0.4,3.03,2.28,0.85,2.17,0.64,1.92,0.86
"320","25-2021.00","Elementary School Teachers, Except Special Education",3.04,2.79,0.3,1.27,3.42,2.7,3.96,3.94,0.8,0.62,4.67,1.07,4.47,2.32,0.45,1.33,4,3.58,2.56,3.73,0.65,1.99,1.42,3.5,1.06,0.55,3.71,2.47,0.99,3.61,0.71,3.09,1.38
"321","25-2022.00","Middle School Teachers, Except Special and Career/Technical Education",3.05,1.54,0.92,1.51,3.32,3.78,4.01,4.41,1.98,1.19,5.56,1.77,5.31,2.43,0.91,1.83,3.1,3.38,2.31,4.07,1.57,1,2.08,3.09,1.39,1.9,3.43,2.59,1.64,3.54,1.42,2.63,1.78
