"","O.NET.SOC.Code","Title","Active Learning","Active Listening","Complex Problem Solving","Coordination","Critical Thinking","Equipment Maintenance","Equipment Selection","Installation","Instructing","Judgment and Decision Making","Learning Strategies","Management of Financial Resources","Management of Material Resources","Management of Personnel Resources","Mathematics","Monitoring","Negotiation","Operation and Control","Operation Monitoring","Operations Analysis","Persuasion","Programming","Quality Control Analysis","Reading Comprehension","Repairing","Science","Service Orientation","Social Perceptiveness","Speaking","Systems Analysis","Systems Evaluation","Technology Design","Time Management","Troubleshooting","Writing","dim"
"242","19-3094.00","Political Scientists",3.62,3.75,3.88,3.12,4.12,1,1,1,3,3.62,3.12,1.25,1.38,2.38,2.5,3.38,2.5,1,1.12,2.62,2.62,1.12,1.38,4.38,1,3.38,2.62,3.75,4.12,3,2.75,1.12,3.25,1,4,"Importance"
"243","19-3099.01","Transportation Planners",3.75,3.75,3.75,3.62,3.88,1,1,1,2.75,3.88,2.88,2.38,2.75,3.12,3.12,3.38,3,1.75,2.25,2.88,3.25,1.75,1.62,4.12,1.38,2.38,3.25,3.25,4,3.38,3.75,1.88,3.5,1.38,4,"Importance"
"244","19-4011.01","Agricultural Technicians",3,3.25,3.25,3,3.25,1.5,1.62,1,3,3,2.75,2,2,2.62,3.12,3.12,2.62,2.62,2.88,1.25,2.62,1.62,1.62,3.5,1.75,3,2.88,2.88,3,2.62,2.5,1.62,3,2.25,3.25,"Importance"
"245","19-4011.02","Food Science Technicians",3,3.62,3.12,3,3.25,2.25,2.12,1,2.88,3,2.88,1.62,2.12,2.62,2.88,3,2.12,2,2.75,1.62,2.12,1.5,3.12,3.62,2.12,3.25,2.38,2.88,3.5,2.38,2.5,1.5,3,2.38,3.5,"Importance"
"246","19-4021.00","Biological Technicians",3.25,3.62,3.38,2.75,3.62,2.12,1.62,1.12,2.12,3.12,2.5,1.75,2.25,2,2.88,3.12,1.88,2.62,2.75,2,2.38,2,2.75,3.75,1.62,3.62,2.12,2.62,3.12,3.12,2.62,2,3,2.88,3.12,"Importance"
"247","19-4031.00","Chemical Technicians",3,3.62,3.12,3,3.88,2.88,2.62,1.12,3.12,3.25,3,2,2.25,2.62,3.12,3.75,2.62,2.88,3.12,2.5,2.5,1.5,3.25,3.88,2.75,4,2.88,3,3.38,2.88,2.88,2.12,3,2.88,3.62,"Importance"
"248","19-4041.01","Geophysical Data Technicians",2.5,3.5,2.88,3,3.5,1.12,1.5,1.12,2.25,2.88,2.12,1.5,1.88,2.38,2.38,2.88,2,2.5,2.5,2,2.75,1.5,2,3.62,1.12,3,2.25,3,3.38,2.5,2.25,1.75,3.12,2,3.25,"Importance"
"249","19-4041.02","Geological Sample Test Technicians",3.12,3.12,3,2.88,3.75,2.75,2.62,1,2.38,3.12,2.88,1.88,1.88,2.38,2.88,3.5,2.25,2.88,3.12,2.12,2.75,2,3,3.62,2.75,3.25,2.5,2.75,3.12,3,2.88,1.75,3,2.88,3.25,"Importance"
"250","19-4051.01","Nuclear Equipment Operation Technicians",2.88,3.88,3.38,2.75,3.62,3,2.12,1.12,2.25,3.38,2.5,1.62,1.62,2.12,3.12,3.88,2.25,3.88,4.25,1.12,2.25,1.5,3.38,3.5,3,2.62,2,2.5,3.5,2.38,2.5,1.75,3.12,3.25,3.12,"Importance"
"251","19-4051.02","Nuclear Monitoring Technicians",3,3.88,3.12,3,3.88,2.12,1.5,1,3.25,3.38,3.12,2,2,2.75,3.12,3.88,2.75,2.75,3.75,1.25,2.88,1.5,3.12,3.75,1.62,3.12,2.88,3,3.5,3,2.5,1.62,3,2.75,3.12,"Importance"
"252","19-4061.00","Social Science Research Assistants",3.25,3.62,3.5,3,3.5,1,1.38,1,2.88,3.25,2.75,2.12,2.38,2.88,3.25,3,2.62,1.38,2.5,2.25,2.75,3,2.88,3.62,1.12,3.25,2.88,3,3.38,2.88,2.88,2,3,2,3.5,"Importance"
"253","19-4061.01","City and Regional Planning Aides",3.12,3.75,3.25,3.12,3.5,1,1,1,2.5,3.5,2.25,1.75,1.75,2.5,2.75,3.25,2.88,1.88,1.88,2.12,2.62,1.38,1.12,3.88,1,2.38,3,3.25,3.75,3.12,2.88,1.38,3.25,1,3.5,"Importance"
"254","19-4091.00","Environmental Science and Protection Technicians, Including Health",3.12,3.62,3.25,3.12,3.62,2.25,2.12,1,2.88,3.38,2.75,1.75,2.12,2.62,3.12,3.38,2.88,3.12,3.25,2.88,2.88,1.38,2.62,3.75,2.12,3.5,3.12,3.12,3.62,3,3,1.62,3.38,2.38,3.62,"Importance"
"255","19-4092.00","Forensic Science Technicians",3.25,3.88,3.75,2.88,3.88,2.25,2.38,1,2.88,3.25,3,1.88,1.88,2.88,2.75,3.12,2.38,2.75,2.88,1.88,2.88,1.75,2.5,3.88,2.12,3.38,2.75,3.12,3.88,3,2.88,1.75,3.12,2.38,3.88,"Importance"
"256","19-4093.00","Forest and Conservation Technicians",3,3.62,3,3.25,3.75,2,2.25,1.38,3.12,3.38,2.88,1.75,2.12,3,3,3.25,2.38,2.88,2.75,1.62,2.75,2.25,2.88,3.5,1.88,2.62,2.62,3.25,3.38,3.12,2.88,1.62,3.12,2,3,"Importance"
"257","19-4099.01","Quality Control Analysts",3,3.75,3.5,3,3.38,1.88,1.75,1.5,2.62,3.38,2.62,1.75,2.12,2.12,2.88,3.62,2.62,2.62,3.38,2.25,2.5,1.75,4.12,3.75,1.75,2.62,2.62,3,3.38,2.62,2.88,2,3,3,3.38,"Importance"
"258","19-4099.02","Precision Agriculture Technicians",3.25,3.75,3.38,3.12,3.75,2.62,2.38,1.5,2.88,3.25,2.5,1.75,1.62,2.62,3.12,3.38,2.75,2.88,3.12,2.62,2.88,1.75,2.88,3.62,2.62,3.12,3.12,3,3.62,3.12,2.88,1.62,3.12,2.62,3.38,"Importance"
"259","19-4099.03","Remote Sensing Technicians",3,3.38,3.25,3.12,3.75,2.12,2.12,1.12,2.62,3.38,2.75,1.88,2.12,2.62,3.5,3.38,2.5,2.38,2.75,2,2.5,2.75,2.88,3.5,1.88,2.62,2.5,2.88,3.5,3.38,2.75,1.88,2.88,2.38,3.25,"Importance"
"260","21-1011.00","Substance Abuse and Behavioral Disorder Counselors",3.75,4.12,3.38,3.25,4,1,1,1,3.25,3.75,3.38,1.75,1.75,3,2,3.75,3,1.12,1.75,2,3.5,1.5,1.62,4,1,2,3.88,4.12,4.12,3.12,3.12,1.62,3,1.25,3.75,"Importance"
"261","21-1012.00","Educational, Guidance, School, and Vocational Counselors",3.75,4.38,3.75,3.5,4,1,1,1,3.62,3.88,3.62,1.25,1.25,3.25,2.25,3.5,3.62,1.25,1.88,1,3.5,1.62,1.12,4.25,1,1.5,3.75,4.25,4.38,3.38,3.12,1.75,3.62,1,4,"Importance"
"262","21-1013.00","Marriage and Family Therapists",3.75,4.75,4,3.5,4,1,1,1,3.62,4.12,3,1.5,1.38,3,2.12,3.88,3.75,1,1.75,3.12,3.88,1.38,1.5,4,1,2.88,4.12,4.25,4.12,3.12,3.38,1.5,3.12,1,4,"Importance"
"263","21-1014.00","Mental Health Counselors",3.5,4.88,3.38,3.38,3.88,1,1,1,3.12,3.88,3.5,1.62,1.62,3,2.12,3.88,3.25,1,1.75,3,3.62,1.5,2,3.75,1,3.12,4.12,4.75,4.12,3.12,3.25,1.62,3,1,3.88,"Importance"
"264","21-1015.00","Rehabilitation Counselors",3,4.12,3.25,3.62,3.75,1,1,1,3.12,3.38,3,1.5,1.25,2.88,2.12,3.88,3.38,1,1.88,3.12,3.25,1.75,1.12,3.5,1,2.5,3.62,4,3.88,3.38,3.12,1.62,3.5,1,3.62,"Importance"
"265","21-1021.00","Child, Family, and School Social Workers",3.38,4.62,3.62,3.5,4,1,1,1,3.25,3.62,3.12,1.75,1.75,3.25,2,4,3.5,1.75,2,3.12,3.5,1.38,1.25,4.25,1,3,4,4.12,4.62,3,2.75,1.38,3.62,1,3.88,"Importance"
"266","21-1022.00","Healthcare Social Workers",3.38,4.25,3.62,3.88,4,1,1.12,1,3.12,3.5,3.12,1.62,1.75,3,2,3.12,3.12,1.75,1.75,3,3.12,1.62,1.75,3.88,1,2.75,3.75,4.12,4.12,2.5,3.12,1.62,3.12,1,3.75,"Importance"
"267","21-1023.00","Mental Health and Substance Abuse Social Workers",3.38,4.38,3.5,3.88,3.88,1,1,1,3.12,3.38,3.5,1.5,1.5,3,2,3.88,3.25,1,2,2.88,3.5,1.75,1.75,4,1,2.88,3.88,4.25,4.25,3.12,3,1.5,3.25,1,3.75,"Importance"
"268","21-1091.00","Health Educators",3.5,4,3.12,3.5,4,1,1,1,3.38,3.12,3.75,2,2.25,3.25,2,3.12,2.88,1.38,1.88,3.12,3.25,1.25,1.5,3.88,1,2.5,3.12,3.5,4.12,3.12,3,1.5,3.5,1,4,"Importance"
"269","21-1092.00","Probation Officers and Correctional Treatment Specialists",3.25,3.88,3.5,3.38,4,1,1,1,3,3.5,2.25,1,1,2.38,1.88,3.88,3.12,1.75,1.75,1.88,3.38,1.5,1.62,3.62,1,1.75,3.25,4,4,2.75,2.88,1.38,3,1,3.75,"Importance"
"270","21-1093.00","Social and Human Service Assistants",3,4,3.12,3.5,3.5,1,1,1,2.88,3.12,3,1.88,1.88,2.38,2.25,3.62,2.75,1.88,1.88,1.75,3.25,1.5,1.88,3.62,1,1.75,4,4,4,2.75,2.88,1.5,3.12,1.38,3.75,"Importance"
"271","21-1094.00","Community Health Workers",3.62,4.12,3.5,3.62,3.75,1,1,1,3.5,3.38,3.38,1.88,1.88,3.25,2.25,3.38,3,1.88,2.12,1.38,3.5,1.5,1.88,3.88,1,1.25,3.88,4.12,4.12,3.38,3.12,1.5,3.38,1.62,4,"Importance"
"272","21-2011.00","Clergy",3.88,4.38,3.5,3.5,3.75,1,1,1,4,4,3.75,2.88,3,3.12,2.38,3.38,3.88,1.75,1.75,1.62,3.88,1.5,1.25,4.12,1,1.62,4.25,4.25,4.62,3,3.25,1.5,3.62,1,4.12,"Importance"
"273","21-2021.00","Directors, Religious Activities and Education",3.5,3.88,3.62,3.75,3.75,1,1,1,3.62,3.5,3.5,2.88,2.62,3.25,2.38,3,3,1.38,1.75,2.62,3.25,1.75,1.88,3.88,1,1.75,3.5,4,4,3.12,3,1.62,3.38,1,3.38,"Importance"
"274","23-1011.00","Lawyers",3.75,4.5,4.12,3.62,4.38,1,1,1,3,4.12,3.12,2,1.88,3.25,2.12,3.5,3.88,1.62,1.75,2.75,3.88,1.38,1,4.38,1,1.75,3.12,3.62,4.5,3.38,3.12,1.62,3.62,1,4.12,"Importance"
"275","23-1012.00","Judicial Law Clerks",3.62,4.25,3.25,2.75,4.12,1,1,1,2.5,3.5,2.75,1,1.25,1.38,1.88,3,2.5,1,1.75,1.25,2.88,1.25,1.62,4.38,1,1,2.5,3.12,3.75,2.38,2.38,1.5,3.38,1.12,4,"Importance"
"276","23-1021.00","Administrative Law Judges, Adjudicators, and Hearing Officers",3.5,4.12,4.12,3,4.38,1,1,1,2.88,4.12,2.62,1.75,1.5,2.62,2.38,3.62,3.12,1,1.62,2.12,2.88,1.62,1.25,4.25,1,1.5,2.88,3.62,4,2.75,2.88,1.5,3.38,1,4.12,"Importance"
"277","23-1022.00","Arbitrators, Mediators, and Conciliators",3.75,4.5,3.75,3.38,4.12,1,1,1,2.75,4,3,1,1,2.25,2,3,4.62,1.12,1.62,1.75,4.12,1.5,1.25,4,1,1.62,3.25,3.62,4.25,2.5,2.75,1.5,3.12,1,4,"Importance"
"278","23-1023.00","Judges, Magistrate Judges, and Magistrates",4,4.75,4.12,3,4.75,1,1,1,3.12,4.38,3,1,1,2.88,2.12,3.75,3.38,1,1.38,2.62,3.12,1.38,1.25,4.12,1,2,2.75,3.5,4.12,3.12,2.75,1.5,3.12,1,4,"Importance"
"279","23-2011.00","Paralegals and Legal Assistants",3,3.75,2.88,3,3.25,1,1,1,2.38,3,2.25,1.12,1.12,2.38,1.88,3,2.5,1,1.75,1.75,2.75,1.38,1.12,4,1,1.5,3,2.88,3.62,2.38,2.12,1.5,3.12,1,3.62,"Importance"
"280","23-2091.00","Court Reporters",2.5,4,2.25,2.38,2.88,1.38,1.12,1,1.38,2.38,2,1,1,1.38,1.38,3,1.88,2.12,2,1.38,1.88,1,2.5,3.25,1.12,1,2.12,2.88,3,1.75,1.62,1,3.12,1.5,3.38,"Importance"
"281","23-2093.00","Title Examiners, Abstractors, and Searchers",2.62,3.62,3,3,3.62,1,1,1,2.12,2.62,2.25,1.62,1.75,2.62,2.25,3,2.38,1,1.5,2.25,2.62,1.25,1.12,3.62,1,1.25,2.75,3.12,3.75,2.12,1.75,1,3.5,1,3.38,"Importance"
"282","25-1011.00","Business Teachers, Postsecondary",3.75,3.88,3.5,3,3.88,1,1,1,4,3.38,3.88,1.75,2,2.62,3,3.38,2.5,1.12,1.75,2.5,3,1.75,1.5,4.12,1,2,2.88,3.12,4.38,3,3,1.62,3.25,1,3.88,"Importance"
"283","25-1021.00","Computer Science Teachers, Postsecondary",3.75,3.62,3.62,3.12,3.88,1.62,1.75,1,4.12,3.75,3.88,1.88,2.12,2.75,3.25,3.5,2.5,1.62,1.75,2.38,2.75,2.75,2,4,1.12,2.5,2.88,3.5,4.12,3,3.12,2,3.38,1.5,4,"Importance"
"284","25-1022.00","Mathematical Science Teachers, Postsecondary",3.75,4,3.75,3.12,4.12,1,1,1,4.12,3.38,3.88,1.5,1.75,2.25,4.38,3.75,2.75,1,1.12,2.5,2.75,1.38,1.38,4.12,1,2.38,2.75,3.12,4.12,2.88,3,1.25,3.25,1,4.12,"Importance"
"285","25-1031.00","Architecture Teachers, Postsecondary",3.88,4,3.75,3.12,4,1,1,1,4.12,3.75,4,1.75,2,2.75,2.88,3.5,2.62,1,1.62,2.75,3,1.62,1.5,4,1,2.12,3,3.5,4,3.25,3.25,1.75,3.25,1,4,"Importance"
"286","25-1032.00","Engineering Teachers, Postsecondary",3.38,4,3.38,3,3.62,1,1,1,4,3.5,3.75,1.75,1.75,2.88,3.62,3.38,3,1,2,2.88,3,1.88,1.75,4.12,1,3.62,2.75,3.25,3.88,3.25,3.25,1.88,3.12,1.25,4,"Importance"
"287","25-1041.00","Agricultural Sciences Teachers, Postsecondary",4,4.12,3.62,3.62,3.88,1,1.12,1,4.5,3.88,4.12,1.88,2.12,3,3,3.88,2.62,1.88,1.88,2.25,2.88,1.75,2.38,4.25,1,3.25,3,3.25,4.38,2.88,3.12,1.5,3.62,1.75,4,"Importance"
"288","25-1042.00","Biological Science Teachers, Postsecondary",3.88,4,3.88,3,3.88,1,1,1,4,3.5,4.12,2.25,2.12,2.88,2.62,3.62,2.88,1,1.62,2.75,2.75,1.38,1.5,4.12,1,4,3,3.12,4.25,3,3,1.12,3.5,1,4.12,"Importance"
"289","25-1043.00","Forestry and Conservation Science Teachers, Postsecondary",3.75,4.12,3.62,3.38,3.88,1,1,1,4.12,3.25,4,1.75,2,3,2.62,3.5,2.62,1.62,1.75,2.38,3,1.75,1.5,4.12,1,3.38,3.12,3.38,4.25,3.12,3.12,1.5,3.12,1,4.12,"Importance"
"290","25-1051.00","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",3.88,4,3.62,3,4,1.25,1.25,1,4.12,3.62,4,2,2.5,3,3.25,3.75,2.88,1,1.75,2.88,3,1.38,1.75,4.25,1.12,4.12,3,3.25,4.62,3.12,3.12,1.5,3.38,1.5,4,"Importance"
"291","25-1052.00","Chemistry Teachers, Postsecondary",3.88,4,3.75,3.12,4,1.12,1.5,1,3.88,3.5,3.88,1.88,2,2.88,3.12,3.75,2.38,1.12,1.88,2.62,2.88,1.75,2.12,4,1,4,3,3.12,4.12,3.12,3.12,1.62,2.88,1.88,4,"Importance"
"292","25-1053.00","Environmental Science Teachers, Postsecondary",4,4,3.62,3.25,4,1,1,1,4.12,3.38,4,2,2,3.12,3.12,4,2.75,1,1.5,2.75,3,1.25,1.88,4.12,1,4.12,3,3.12,4.12,3,3,1.12,3.38,1.38,4.12,"Importance"
"293","25-1054.00","Physics Teachers, Postsecondary",4.12,4,3.5,3.25,4,1.88,1.88,1,4.12,3.88,4,1.88,2.12,3,3.38,3.62,2.38,1,1.88,2.62,3,1.62,2.12,4.25,1.88,4,3,3.38,4.38,2.88,3,1.38,3.12,1.88,4.12,"Importance"
"294","25-1061.00","Anthropology and Archeology Teachers, Postsecondary",4,4,3.75,3,4,1,1,1,4,3.75,4,1.88,1.88,2.75,2.38,3.5,2.88,1,1,2.5,3,1.25,1.25,4.25,1,3.62,3,3.38,4.5,3.38,3.5,1.12,3.62,1,4,"Importance"
"295","25-1062.00","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",4,4.12,3.5,3,4,1,1,1,4,3.25,3.88,1.62,1.88,3,2,3.25,2.38,1,1.38,2.75,2.88,1.62,1.5,4.25,1,3.12,3,3.25,4.25,2.88,2.88,1.5,3.12,1,3.88,"Importance"
"296","25-1063.00","Economics Teachers, Postsecondary",3.5,4,3.38,3,3.88,1,1,1,4,3.12,3.75,2.12,2,2.62,3.25,3.12,2.75,1,1.88,2.75,2.75,1.88,1.38,4,1,2.5,2.75,3.25,4,3,3,1.62,3,1,3.88,"Importance"
"297","25-1064.00","Geography Teachers, Postsecondary",3.62,3.75,3.62,3,4,1,1,1,4.12,3.25,4,1.88,2,3,2.88,3.38,2.5,1,1.38,2.5,2.88,1.75,1.38,4,1,3.25,2.88,3.12,4.12,2.75,2.88,1.5,3.12,1,4,"Importance"
"298","25-1065.00","Political Science Teachers, Postsecondary",4,4,3.62,2.88,4,1,1,1,4,3.38,3.88,1.62,1.75,2.88,2,3.12,2.75,1,1,2.88,2.75,1.12,1.12,4,1,2.88,2.88,3.12,4.62,2.88,2.75,1.12,3,1,4,"Importance"
"299","25-1066.00","Psychology Teachers, Postsecondary",3.88,4,3.62,3,4,1,1,1,4,3.75,4,1.75,1.88,2.88,2.75,3.5,2.62,1,1.25,2.62,2.75,1.75,1.5,4,1,3.38,3,3.75,4.25,3.12,3.12,1.5,3.12,1,4,"Importance"
"300","25-1067.00","Sociology Teachers, Postsecondary",3.88,4.12,3.38,3,3.75,1,1,1,4.12,3.38,4,1.62,1.88,3,2.12,3.75,2.62,1,1,2.75,2.88,1,1.38,4.38,1,2.75,3,3.62,4.62,2.75,2.75,1,3.38,1,4.12,"Importance"
"301","25-1071.00","Health Specialties Teachers, Postsecondary",4,4,3.88,3,4,1,1.25,1,4.12,3.75,4,1.75,2,2.88,2.62,3.88,2.62,1,1.75,2.25,2.75,1.12,1.62,4.12,1,3.25,3.25,3.25,4.38,2.88,2.88,1.25,3.5,1.25,4,"Importance"
"302","25-1072.00","Nursing Instructors and Teachers, Postsecondary",4,4,3.62,3.75,4,1,1.12,1,4.12,3.75,4,1.75,2,3,2.62,3.88,2.62,1.88,1.88,2.5,3.12,1.62,2.12,4,1.12,3.12,3.12,3.62,4.25,3.12,3.12,1.62,3.25,1.62,4,"Importance"
"303","25-1081.00","Education Teachers, Postsecondary",4,4,3.75,3.38,3.88,1,1,1,4,3.38,4,1.88,2.12,3,2.12,3.75,2.88,1,1,2.62,2.88,1.12,1.25,4.12,1,2,3,3.12,4.75,3.12,3,1.12,3.62,1,4.12,"Importance"
"304","25-1082.00","Library Science Teachers, Postsecondary",3.88,4,3.62,3.25,4,1,1,1,4.12,3.38,3.75,2,2.12,3,2.12,3.75,2.62,1,1.62,2.38,2.88,1.75,1.62,4.12,1,2.25,3,3.38,4.12,3.12,3.25,1.62,3.12,1,4,"Importance"
"305","25-1111.00","Criminal Justice and Law Enforcement Teachers, Postsecondary",4,4,3.38,3,4.12,1,1,1,4,3.75,4,1.75,1.88,2.75,2,3.75,2.88,1,1.12,2.5,3,1.12,1.12,4,1,2,3,3,4.62,3.12,2.88,1,3.38,1,4,"Importance"
"306","25-1112.00","Law Teachers, Postsecondary",4,4.12,3.5,3.12,4,1.12,1,1,4.12,3.5,4.12,1.25,1.38,2.75,2,3.38,3,1.12,1.5,2.12,3.12,1.5,1.75,4.38,1.12,1.75,2.88,3,4.5,3,3,1.38,3,1.12,4,"Importance"
"307","25-1113.00","Social Work Teachers, Postsecondary",3.88,4,3.75,3.25,4,1,1.12,1,4.62,3.62,4.12,1.75,2,3,2.5,3.88,2.88,1.12,1.62,2.75,3,1.5,1.5,4.25,1,2.62,3.25,3.62,4.5,3.12,3.12,1.5,3.12,1,4,"Importance"
"308","25-1121.00","Art, Drama, and Music Teachers, Postsecondary",4,4,3.38,3.12,3.75,1,1.25,1,4.5,3.38,4,2.12,2.25,3,2,3.88,2.88,1,1.25,2.62,2.88,1.12,1.38,4,1,1.88,3.12,3.5,4.62,2.88,2.88,1.25,4,1,3.75,"Importance"
"309","25-1122.00","Communications Teachers, Postsecondary",3.75,4,3.5,3.12,4,1,1,1,4.25,3.5,4,1.88,2,2.88,2,3.62,2.62,1,1.62,2.38,3,1.62,1.5,4,1,2,3,3.38,4.25,3,3,1.62,3.12,1,4,"Importance"
"310","25-1123.00","English Language and Literature Teachers, Postsecondary",3.75,4.12,3.38,3,3.75,1,1,1,4.5,3.25,4,1.25,1.62,2.75,2,3.5,2.88,1,1,2.38,2.75,1.25,1.25,4.88,1,1.62,3.12,3.12,4.38,2.88,2.88,1.12,3.12,1,4.25,"Importance"
"311","25-1124.00","Foreign Language and Literature Teachers, Postsecondary",3.75,4,3.5,3.25,3.88,1,1,1,4.12,3.5,3.88,1.25,1.75,2.88,1.88,3.62,2.5,1,1.38,2.75,2.75,1.88,1.88,4.12,1,2,3,3.38,4.38,3,3,1.5,3.12,1,4,"Importance"
"312","25-1125.00","History Teachers, Postsecondary",3.75,4,3.38,3.12,4,1,1,1,4,3.5,4,1.5,1.5,2.62,2.12,3.62,2.88,1,1,2.62,3,1.12,1.38,4.12,1,2.12,3,3.12,4.5,3,3,1,3.5,1,4,"Importance"
"313","25-1126.00","Philosophy and Religion Teachers, Postsecondary",3.62,4,3.5,2.88,4,1,1,1,4.12,3.38,3.75,1.25,1.75,2.88,2,3.38,2.38,1,1.5,2.62,2.75,1.62,1.38,4,1,2,3,3.25,4,3,3,1.5,3.12,1,4,"Importance"
"314","25-1191.00","Graduate Teaching Assistants",2.62,3.5,2.88,3,3.25,1,1,1,3.5,2.75,2.62,1,1.12,2.12,2,3,2,1,1.75,2,2.12,1.5,1.62,3.62,1,1.75,2.75,3.38,3.5,2.12,2.12,1.62,2.88,1.62,3.38,"Importance"
"315","25-1192.00","Home Economics Teachers, Postsecondary",3.5,4.12,3.38,3.12,3.88,1,1,1,4.12,3.38,3.88,1.75,1.88,2.88,2.62,3.5,2.5,1,1.75,2.62,3,1.5,2.12,4,1,2.5,3.12,3.12,4.25,3.12,3.12,1.5,3.25,1.5,3.88,"Importance"
"316","25-1193.00","Recreation and Fitness Studies Teachers, Postsecondary",3.38,3.88,3.62,3.12,3.62,1,1,1,4.12,3.5,4,1.75,1.75,2.75,2.12,3.62,2.75,1.12,1.62,2.62,2.88,1.12,1.5,4,1,2.5,3.12,3.25,4.12,3.25,3.12,1.5,3.62,1.5,3.88,"Importance"
"317","25-1194.00","Vocational Education Teachers, Postsecondary",3.5,3.88,3.12,3.25,3.62,1.25,1.88,1,4.25,3.25,4,1.75,2,2.62,2,3.88,2.62,2,2,2.5,2.88,1,2.25,3.5,1.25,1.62,3,3.25,4,2.62,2.75,1.75,2.88,1.75,3.5,"Importance"
"318","25-2011.00","Preschool Teachers, Except Special Education",3.38,3.88,3.12,3.88,3.75,1,1.5,1,4,3.38,4.12,1.12,2.12,2.75,2.38,3.62,2.75,1.12,1.5,2,3.12,1,2.12,3.62,1,1.88,3.5,3.88,4.25,2.5,2.62,1.38,3.38,1.5,3.25,"Importance"
"319","25-2012.00","Kindergarten Teachers, Except Special Education",3.25,3.88,3.38,3.62,3.38,1,1.12,1,4,3.5,3.62,1.25,1.5,2.75,2.38,3.62,3,1.25,1.75,1.38,3.12,1.12,2,3.5,1,1.25,3.5,3.88,3.88,2.5,2.75,1.75,3.5,1.62,3.25,"Importance"
"320","25-2021.00","Elementary School Teachers, Except Special Education",3.88,4,3.25,3.62,3.75,1,1.38,1,4.25,3.75,4.12,1.25,1.75,2.88,3,3.88,2.88,1.25,1.75,2.25,3,1.38,2,3.75,1,2.12,3.38,3.88,4.25,3.12,3.12,1.75,3.5,1.25,3.75,"Importance"
"321","25-2022.00","Middle School Teachers, Except Special and Career/Technical Education",3.62,4,3.5,3.5,3.62,1,1,1,4.12,3.5,3.75,1.12,1.5,3,2.62,3.62,3.12,1.25,1.88,1.25,3,1.38,2.38,3.88,1,1.38,3.38,3.75,4.12,2.75,2.88,1.5,3.62,1.62,3.75,"Importance"
"322","25-2023.00","Career/Technical Education Teachers, Middle School",3.38,3.88,3.12,3.38,3.88,1.75,1.75,1,4.12,3.25,3.88,1.75,2.12,2.75,2.38,3.88,2.75,2,2.25,2.88,2.75,1.62,2.5,4,1.75,1.88,3,3.62,4,3,3,1.75,3,1.88,3.62,"Importance"
"323","25-2031.00","Secondary School Teachers, Except Special and Career/Technical Education",3.5,3.88,3.38,3.75,3.75,1,1.38,1,4.25,3.62,4.25,1.5,2.25,3.12,3,3.5,3,1.25,1.62,1.88,3.12,1.5,2,3.62,1.25,2.12,3.25,3.62,4.12,3,3.25,1.62,3.62,1,3.62,"Importance"
"324","25-2032.00","Career/Technical Education Teachers, Secondary School",3.62,4,3.75,3.75,3.62,1.12,1.38,1.12,4.25,3.5,3.62,1.88,2.25,3.12,2.62,3.88,3.38,2.25,2.5,1.25,3.38,1.38,2.25,4,1.12,1.5,3.75,3.62,4,2.88,3,1.75,3.62,1.88,4,"Importance"
"325","25-2052.00","Special Education Teachers, Kindergarten and Elementary School",3.62,3.88,3.38,3.88,3.88,1,1,1,4.12,3.25,4,1,1.5,2.38,2.38,3.75,3.12,1.12,1.62,1.75,3.62,1.62,1.12,3.88,1,1.5,3.88,4.12,3.88,3,2.75,1.62,3.62,1,3.75,"Importance"
"326","25-2053.00","Special Education Teachers, Middle School",3.62,4,3.5,3.75,3.75,1,1,1,4.12,3.5,3.62,1.25,1.38,3.12,2.62,3.75,3.38,1,1.5,1.25,3,1.38,1.25,3.88,1,1.38,3.62,3.75,4,2.88,2.88,1.62,3.75,1,3.5,"Importance"
"327","25-2054.00","Special Education Teachers, Secondary School",3.38,3.88,3.5,3.75,3.75,1,1.25,1,4,3.5,4,1.5,2.25,2.75,2.88,3.88,2.88,1.25,1.88,2.25,3.12,1.5,1.88,3.75,1,1.75,3.88,3.75,3.88,2.88,3.12,1.5,3.5,1.12,3.75,"Importance"
"328","25-2059.01","Adapted Physical Education Specialists",3.5,4.12,3.12,3.25,3.5,1,1.25,1.12,4.12,3.62,3.62,1.62,2,3,2.12,3.75,2.88,1.38,2.12,2,3.25,1.38,2.12,3.88,1.12,1.38,4.12,3.88,3.88,3,3.12,1.62,3.38,1.88,3.62,"Importance"
"329","25-3011.00","Adult Basic and Secondary Education and Literacy Teachers and Instructors",3.5,4,3.38,3.38,3.5,1,1,1,4.38,3.5,3.62,1.12,1.38,2.75,2.75,3.62,2.88,1,1.75,1.12,2.88,1.38,1.12,3.88,1,1.5,3.5,3.5,4.12,2.62,2.62,1.62,3.38,1,3.88,"Importance"
"330","25-3021.00","Self-Enrichment Education Teachers",3,3.38,2.75,3.12,3.12,1,1.12,1,3.38,3,3.25,1.38,1.5,2.75,2,3.25,2.38,1.75,1.88,2.25,2.62,1.62,1.88,3.25,1,1.62,3,3.38,3.62,2.38,2.25,1.75,2.88,1.75,2.88,"Importance"
